INDEX,TR_GOOD,NUM_PHRASE_LINES,NUM_PHRASE_WORDS,WPM,DURATION_MS,BEGIN_TIME,BEGIN_TIME_MS,COMP_END_TIME,COMP_END_TIME_MS,END_TIME,END_TIME_MS,TOLERANCE,END_TRUNCATED
108,0,1,5,250,1200,00:04:22.429,262429,00:04:23.629,263629,00:04:23.564,263564,1300,1
109,0,1,4,250,960,00:04:23.564,263564,00:04:24.524,264524,00:04:24.524,264524,1300,0
110,0,1,8,250,1920,00:04:26.233,266233,00:04:28.153,268153,00:04:27.734,267734,1300,1
111,0,1,7,250,1680,00:04:27.734,267734,00:04:29.414,269414,00:04:29.414,269414,1300,0
112,0,1,7,250,1680,00:04:29.870,269870,00:04:31.550,271550,00:04:30.737,270737,1300,1
113,0,1,1,250,240,00:04:30.737,270737,00:04:30.977,270977,00:04:30.977,270977,1300,0
114,0,1,1,250,240,00:04:31.972,271972,00:04:32.212,272212,00:04:32.212,272212,1300,0
115,0,1,6,250,1440,00:04:36.743,276743,00:04:38.183,278183,00:04:38.183,278183,1300,0
116,0,1,1,250,240,00:04:38.278,278278,00:04:38.518,278518,00:04:38.518,278518,1300,0
117,0,1,1,250,240,00:04:40.681,280681,00:04:40.921,280921,00:04:40.921,280921,1300,0
118,0,1,4,250,960,00:04:53.794,293794,00:04:54.754,294754,00:04:54.754,294754,1300,0
119,0,1,8,250,1920,00:04:55.596,295596,00:04:57.516,297516,00:04:57.516,297516,1300,0
120,0,1,4,250,960,00:04:59.199,299199,00:05:00.159,300159,00:05:00.159,300159,1300,0
121,0,1,5,250,1200,00:05:01.401,301401,00:05:02.601,302601,00:05:02.601,302601,1300,0
122,0,1,8,250,1920,00:05:03.871,303871,00:05:05.791,305791,00:05:05.791,305791,1300,0
123,0,1,1,250,240,00:05:07.107,307107,00:05:07.347,307347,00:05:07.274,307274,1300,1
124,0,1,6,250,1440,00:05:07.274,307274,00:05:08.714,308714,00:05:08.714,308714,1300,0
125,0,1,1,250,240,00:05:10.711,310711,00:05:10.951,310951,00:05:10.911,310911,1300,1
126,0,1,7,250,1680,00:05:10.911,310911,00:05:12.591,312591,00:05:12.179,312179,1300,1
127,0,1,3,250,720,00:05:12.179,312179,00:05:12.899,312899,00:05:12.899,312899,1300,0
